referenceFournisseur,constructeur,slug,categoryId,status,isFeatured,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,imageUrl,secondaryImageUrl1,secondaryImageUrl2,secondaryImageUrl3,pdfBrochureUrl
9510,MORIA,castroviejo-utility-forceps-6-5-mm-platforms-0-3-m,ophthalmology-surgical,active,,"Castroviejo “Utility” pinces(6.5-mm plateformes, 0.3-mm oblique dents)","Castroviejo “Utility” Forceps(6.5-mm platforms, 0.3-mm oblique teeth)","Castroviejo""Utility"" forceps with 0.3-mm oblique teeth, 6.5-mmplatformsand 10.5-cm longueur totale.peut être utilisé pour seize, rotate or manipulate the eyeball without damaging the tissues, to manipulate the scleral edge, to fix the limb, to remove the iris, to lift theconjunctivaand the Tenon facia.","Castroviejo""Utility"" forceps with 0.3-mm oblique teeth, 6.5-mmplatformsand 10.5-cm total length.Can be used to seize, rotate or manipulate the eyeball without damaging the tissues, to manipulate the scleral edge, to fix the limb, to remove the iris, to lift theconjunctivaand the Tenon facia.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 10.5 cm; Tip: 6.5-mm platforms, 0.3-mm oblique teeth; Handle: Flat, serrated; Intended use: To grasp, rotate or manipulate the globe without damaging any tissue.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 10.5 cm; Tip: 6.5-mm platforms, 0.3-mm oblique teeth; Handle: Flat, serrated; Intended use: To grasp, rotate or manipulate the globe without damaging any tissue.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/b52e3cf62d133816107a33dc932233a4fd4050e1.jpg,,,,
2180A,MORIA,bonaccolto-forceps-0-8-mm-serrated-jaws-2180a,ophthalmology-surgical,active,,Bonaccolto pinces(0.8-mm serrated jaws),Bonaccolto Forceps(0.8-mm serrated jaws),"Straight, standard, 0.8-mm tooth jaws over a 11.0-mm longueur totale.Can be used for dissecting tissue.","Straight, standard, 0.8-mm tooth jaws over a 11.0-mm total length.Can be used for dissecting tissue.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 110 mm; Tip: 10-mm platforms , 0.7-mm thickness; Handle: Flat; Intended use: To dissect tissue.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 110 mm; Tip: 10-mm platforms , 0.7-mm thickness; Handle: Flat; Intended use: To dissect tissue.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/ef9c4d28e6ec9ffedf39afb4ea102d447b684e37.jpg,,,,
2183,MORIA,forceps-1-mm-serrated-jaws-2183,ophthalmology-surgical,active,,pinces(1-mm serrated jaws),Forceps(1-mm serrated jaws),"11-cm long, curved, standard, 1-mm serrated forceps over a 9-mm active part.Can be used for dissecting tissue.","11-cm long, curved, standard, 1-mm serrated forceps over a 9-mm active part.Can be used for dissecting tissue.",Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 110 mm; Tip: 1-mm serrated jaws; Handle: Flat; Intended use: To delicately manipulate and dissect tissue without damaging it,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 110 mm; Tip: 1-mm serrated jaws; Handle: Flat; Intended use: To delicately manipulate and dissect tissue without damaging it,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f55af023fddafa56988916a2f7c9ea542802dd3f.jpg,,,,
2432,MORIA,barraquer-forceps-6-mm-platforms-straight-jaws-243,ophthalmology-surgical,active,,"Barraquer pinces(6-mm plateformes, droit jaws)","Barraquer Forceps(6-mm platforms, straight jaws)","Barraquerforceps with an active pointe of 6-mmplatformsand straight jaws, and 11.1-cm length.peut être utilisé pour hold the threads duringsutures.","Barraquerforceps with an active tip of 6-mmplatformsand straight jaws, and 11.1-cm length.Can be used to hold the threads duringsutures.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 111 mm; Tip: 6-mm platforms, straight jaws; Handle: Flat; Intended use: To hold the suture wire.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 111 mm; Tip: 6-mm platforms, straight jaws; Handle: Flat; Intended use: To hold the suture wire.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/0361b1ec7f3731057531b5bb28bdd89be696b2f1.jpg,,,,
7431,MORIA,barraquer-forceps-colibri-type-1-mm-platforms-7431,ophthalmology-surgical,active,,"Barraquer pinces, “Colibri” Type(1-mm plateformes)","Barraquer Forceps, “Colibri” Type(1-mm platforms)","Barraquer""Colibri"" tying forceps with an active part of 4-mm curved length and 1-mmplatforms.peut être utilisé pour hold the threads duringsutures.","Barraquer""Colibri"" tying forceps with an active part of 4-mm curved length and 1-mmplatforms.Can be used to hold the threads duringsutures.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 75 mm; Tip: 1-mm platforms, curved and angled, colibri type; Handle: Flat; Intended use: To hold the suture wire.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 75 mm; Tip: 1-mm platforms, curved and angled, colibri type; Handle: Flat; Intended use: To hold the suture wire.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f134b9b4e02f9b9b4b9ad1b772339bf54b028e86.jpg,,,,
7835C,MORIA,moria-forceps-4-mm-platforms-straight-jaws-7835c,ophthalmology-surgical,active,,"Moria pinces(4-mm plateformes, droit jaws)","Moria Forceps(4-mm platforms, straight jaws)","Moria holding forceps with an active pointe of 4-mmplatformsandstraightjaws, and 7.5-cm length.peut être utilisé pour hold the threads duringsutures.","Moria holding forceps with an active tip of 4-mmplatformsandstraightjaws, and 7.5-cm length.Can be used to hold the threads duringsutures.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 75 mm; Tip: 4-mm platforms, straight jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total length: 75 mm; Tip: 4-mm platforms, straight jaws; Handle: Flat, serrated; Intended use: To hold the suture wire.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/cf2ef94b80978e72a99cfca58aecacf5635a9f78.jpg,,,,
TI7835,MORIA,bonn-forceps-titanium-0-12-mm-teeth-with-platforms,ophthalmology-surgical,active,,bonn pinces - Titanium(0.12-mm dents with plateformes),Bonn Forceps - Titanium(0.12-mm teeth with platforms),réutilisableBonnholding forceps intitaniumwithplatformsand0.12-mmfacing micro teeth. peut être utilisé pour hold the cornea.,ReusableBonnholding forceps intitaniumwithplatformsand0.12-mmfacing micro teeth. Can be used to hold the cornea.,"Reusability: Yes; Packaging: X1; Material*: Titanium; Total lenght: 7.5 cm; Tip: 0.12-mm teeth, straight; Handle: Flat, serrated; Intended use: To hold the cornea.","Reusability: Yes; Packaging: X1; Material*: Titanium; Total lenght: 7.5 cm; Tip: 0.12-mm teeth, straight; Handle: Flat, serrated; Intended use: To hold the cornea.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f73b4f4827e01d131aea404ed2e13966466bf248.jpg,,,,
2131,MORIA,lambert-forceps-11-mm-2131,ophthalmology-surgical,active,,Lambert pinces(11 mm),Lambert Forceps(11 mm),"longueur totale is 9.6 cm with an active part of 11.5-mm internal diameter, and 13.5-mm external diameter.Can be used in the treatment of chalazion and ptosis.","Total length is 9.6 cm with an active part of 11.5-mm internal diameter, and 13.5-mm external diameter.Can be used in the treatment of chalazion and ptosis.",Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 96 mm; TipInternal: 11.5 mmExternal: 13.5 mm; Handle: Flat; Intended use: Used in the treatment of chalazion and ptosis.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 96 mm; TipInternal: 11.5 mmExternal: 13.5 mm; Handle: Flat; Intended use: Used in the treatment of chalazion and ptosis.,https://www.moria-surgical.com/media/cache/product_viewer/files/product/58f563ab6fadca4557249c0edafcc43d5e0d491d.jpg,,,,
2228,MORIA,elschnig-forceps-straight-with-crossed-teeth-2228,ophthalmology-surgical,active,,Elschnig pinces(droit with crossed dents),Elschnig Forceps(straight with crossed teeth),"Crossed teeth peut être utilisé pour seize, rotate or manipulate the eyeball without damaging the tissues, to manipulate the scleral edge, to fix the limb, to remove the iris, to lift the conjunctiva and the Tenon facia.","Crossed teeth can be used to seize, rotate or manipulate the eyeball without damaging the tissues, to manipulate the scleral edge, to fix the limb, to remove the iris, to lift the conjunctiva and the Tenon facia.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 108 mm; Tip: Crossed teeth; Handle: Flat handle; Intended use: Intended to grasp, rotate or manipulate the globe without damaging any tissue, manipulate the scleral rim, fixate the limbus, remove the iris, to lift the conjonctiva and Tenon’s fascia. Fixation forceps are also mentioned when it is needed to manipulate the superior and/or inferior rectus muscles allowing a gentle traction to the globe.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 108 mm; Tip: Crossed teeth; Handle: Flat handle; Intended use: Intended to grasp, rotate or manipulate the globe without damaging any tissue, manipulate the scleral rim, fixate the limbus, remove the iris, to lift the conjonctiva and Tenon’s fascia. Fixation forceps are also mentioned when it is needed to manipulate the superior and/or inferior rectus muscles allowing a gentle traction to the globe.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/290a69113325e810a8f1c0127d700aa3557c61d6.jpg,,,,
1121B,MORIA,abadie-curette-small-model-8mm-1121b,ophthalmology-surgical,active,,Abadie Curette(small model: Ø 8mm),Abadie Curette(small model: Ø 8mm),"AbadieCuretteis a small réutilisable curette that can be used foreviscerationprocedures.While its active part measures 8 mm, depth of its solid spoon measures close to 1 mm.","AbadieCuretteis a small reusable curette that can be used foreviscerationprocedures.While its active part measures 8 mm, depth of its solid spoon measures close to 1 mm.",Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 128 mm; TipDiameter: 8 mmDepth: close to 1 mm; Intended use: For evisceration,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 128 mm; TipDiameter: 8 mmDepth: close to 1 mm; Intended use: For evisceration,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ceb163bb86b5b67116a81456dc9e50a1e7c3747b.jpg,,,,
20028,MORIA,fontana-double-ended-spatula-for-dalk-20028,ophthalmology-surgical,active,,Fontana Double-Ended Spatula(for DALK),Fontana Double-Ended Spatula(for DALK),"One end is a disc-shaped spatula for detachment of intrastromal adherences: semi-sharp rounded design for peripheral dissection, blunt active part.The other end is a foam and flat spatula for stromal dissection: beveled up, blunt pointe to protect Descemet’s membrane while cutting posterior stroma.","One end is a disc-shaped spatula for detachment of intrastromal adherences: semi-sharp rounded design for peripheral dissection, blunt active part.The other end is a foam and flat spatula for stromal dissection: beveled up, blunt tip to protect Descemet’s membrane while cutting posterior stroma.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 105 mm; TipOne end: semi-sharp, rounded spatulaThe other end:  blunt foam, flat spatula for dissection; Intended use: For stromal and peripheral dissection during DALK lamellar keratoplasty","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 105 mm; TipOne end: semi-sharp, rounded spatulaThe other end:  blunt foam, flat spatula for dissection; Intended use: For stromal and peripheral dissection during DALK lamellar keratoplasty",https://www.moria-surgical.com/media/cache/product_viewer/files/product/e03f892fa83a2c8bf5f7ec48867608f3b5fb0be8.jpg,,,,
20032,MORIA,ancel-double-ended-spatula-for-lasik-smile-20032,ophthalmology-surgical,active,,"Ancel Double-Ended Spatula(for LASIK, SMILE)","Ancel Double-Ended Spatula(for LASIK, SMILE)","Double-endedinstrument with:an active hook-shaped part,and the other with a blunt spatula.Allows entry into an incision and/or the separation of the stroma during refractive surgery (LASIK,ReLEx SMILE).","Double-endedinstrument with:an active hook-shaped part,and the other with a blunt spatula.Allows entry into an incision and/or the separation of the stroma during refractive surgery (LASIK,ReLEx SMILE).","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 112 mm; Tip: Rounded and blunt, thin at the end and not pointed; Intended use: To enter into an incision and/or to separate the stroma during refractive surgery (LASIK, SMILE).","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Length: 112 mm; Tip: Rounded and blunt, thin at the end and not pointed; Intended use: To enter into an incision and/or to separate the stroma during refractive surgery (LASIK, SMILE).",https://www.moria-surgical.com/media/cache/product_viewer/files/product/ef7661580e4679c98270409ad2535bbc61facf32.jpg,,,,
M0570N,MORIA,nichamin-double-ended-spatula-double-ended-m0570n,ophthalmology-surgical,active,,Nichamin Double-Ended Spatula(double-ended),Nichamin Double-Ended Spatula(double-ended),Nichamin Double-Ended Spatula with a sharp 1.25 mm and a blunt spatula pointe of 0.5 mm with angulations of 110° and 135° respectively.peut être utilisé pour manipulate theintracular lensand/or thecrystalline lensduringcataractsurgery.,Nichamin Double-Ended Spatula with a sharp 1.25 mm and a blunt spatula tip of 0.5 mm with angulations of 110° and 135° respectively.Can be used to manipulate theintracular lensand/or thecrystalline lensduringcataractsurgery.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 141 mm; TipDouble-ended: phaco-chopper cutting tip & blunt spatulated tip; Instrument base shape: Knurled; Intended use: To manipulate the intraocular lens and/or crystalline lens during cataract surgery.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 141 mm; TipDouble-ended: phaco-chopper cutting tip & blunt spatulated tip; Instrument base shape: Knurled; Intended use: To manipulate the intraocular lens and/or crystalline lens during cataract surgery.,https://www.moria-surgical.com/media/cache/product_viewer/files/product/5da5962154dcd3ec1354675fc1cfe95f720d9444.jpg,,,,
M0489,MORIA,castroviejo-double-ended-spatula-double-ended-m048,ophthalmology-surgical,active,,Castroviejo Double-Ended Spatula(double-ended),Castroviejo Double-Ended Spatula(double-ended),Castroviejodouble-endedspatulawith a sharp spatulated pointe and a blunt spatulated pointe.peut être utilisé pour manipulate theintraocular lensand/or thenucleus.,Castroviejodouble-endedspatulawith a sharp spatulated tip and a blunt spatulated tip.Can be used to manipulate theintraocular lensand/or thenucleus.,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 141 mm; TipDouble-ended: a sharp spatulated tip & a blunt spatulated tip; Instrument base shape: Knurled; Intended use: To manipulate the intraocular lens and/or the nucleus during a cataract surgery,Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 141 mm; TipDouble-ended: a sharp spatulated tip & a blunt spatulated tip; Instrument base shape: Knurled; Intended use: To manipulate the intraocular lens and/or the nucleus during a cataract surgery,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ccc24324e3bb1fb64a61c01e57ff5acbea4f69c6.jpg,,,,
M0712,MORIA,koch-spatula-6-5-mm-tip-m0712,ophthalmology-surgical,active,,Koch Spatula(6.5-mm tip),Koch Spatula(6.5-mm tip),"119-mm length with a curved active part length of 6.55 mm, and width of 0.85 mm.peut être utilisé pour manipulate theintraocular lensand/ornucleusduringcataractsurgery.","119-mm length with a curved active part length of 6.55 mm, and width of 0.85 mm.Can be used to manipulate theintraocular lensand/ornucleusduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 119 mm; Tip: Blunt, curved; Instrument base shape: Knurled; Intended use: To manipulate the intraocular lens and/or nucleus","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 119 mm; Tip: Blunt, curved; Instrument base shape: Knurled; Intended use: To manipulate the intraocular lens and/or nucleus",https://www.moria-surgical.com/media/cache/product_viewer/files/product/f26bd62398243ceec5dff0e5898786dc7ae50f87.jpg,,,,
M32390,MORIA,nagahara-spatula-110-angled-tip-m32390,ophthalmology-surgical,active,,Nagahara Spatula(110° angled tip),Nagahara Spatula(110° angled tip),"116-mm longueur totale, active part with 110° angulation and 0.3-mm diameter.peut être utilisé pour manipulate theintraocular lensand/orcrystalline lensduringcataractsurgery.","116-mm total length, active part with 110° angulation and 0.3-mm diameter.Can be used to manipulate theintraocular lensand/orcrystalline lensduringcataractsurgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 116 mm; Tip: Blunt, 110° angulation; Instrument base shape: Knurled; Intended use: To manipulate the lens during cataract surgery.","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Size: 116 mm; Tip: Blunt, 110° angulation; Instrument base shape: Knurled; Intended use: To manipulate the lens during cataract surgery.",https://www.moria-surgical.com/media/cache/product_viewer/files/product/1bacc5a2a42ac64f04188c9bc772aee624608c74.jpg,,,,
MC43,MORIA,de-wecker-mosquito-forceps-straight-mc43,ophthalmology-surgical,active,,De Wecker “Mosquito” pinces(droit),De Wecker “Mosquito” Forceps(straight),Straight and 5.4-cm length with a 2.8-mm active part.Hemostatic forceps with flat manche that peut être utilisé pour weight down sutures.,Straight and 5.4-cm length with a 2.8-mm active part.Hemostatic forceps with flat handle that can be used to weight down sutures.,"Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 54 mm; Tip: Straight, 2.5-mm active part; Handle: Flat; Intended use: Hemostatic forceps to tighten sutures","Reusability: Yes; Packaging: X1; Material*: Stainless steel; Total lenght: 54 mm; Tip: Straight, 2.5-mm active part; Handle: Flat; Intended use: Hemostatic forceps to tighten sutures",https://www.moria-surgical.com/media/cache/product_viewer/files/product/a23554d84427d41de105beaaa7fbaa88e1b21bb9.jpg,,,,
