Ref Fournisseur,Nom Produit (FR),Nom Produit (EN),Fabricant,Discipline (Parent),Categorie,Category ID,Statut
FS903LAJPQF9,Fauteuil roulant aluminium léger,Lightweight Aluminum Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS908LAJPF21,Fauteuil roulant aluminium premium,Premium Aluminum Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS951B-56,Fauteuil roulant très léger,Very Lightweight Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS952LCQ,Fauteuil roulant aluminium économique,Economy Aluminum Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS958LBCGPY,Fauteuil roulant aluminium confort,Comfort Aluminum Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS958LBPYF8,Fauteuil roulant aluminium pliable,Foldable Aluminum Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS980LA-35,Fauteuil roulant aluminium compact,Compact Aluminum Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
FS980LQF8,Fauteuil roulant aluminium sportif,Sport Aluminum Wheelchair,foshan,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
BK 02,BK 02 Berceau Bebe,BK 02 Baby Cot,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
BK 04 Neo,BK 04 Neo Berceau Bebe,BK 04 Neo Baby Cot,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
BST 01,BST 01 Compact Table de Lit,BST 01 Compact Overbed Table,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
CARET 502,Table d'Examen CARET 502,CARET 502 Examination Couch,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
CARET 502 v2,CARET 502 Patient Table Examen,CARET 502 Patient Examination Table,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
EVA JMM 04,EVA JMM 04 Quatre Moteurs Gynaecological Chair,EVA JMM 04 Four Motors Gynaecological Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HAPPY,Happy Fauteuil de Dialyse,Happy Dialysis Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 1120,NITRO HB 1120 Manuel Lit Patient,NITRO HB 1120 Manual Patient Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 1310,NITRO HB 1310 Manuel Hydraulique Bed,NITRO HB 1310 Manual Hydraulic Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 2220,NITRO HB 2220 Deux Moteurs Lit Patient,NITRO HB 2220 Two Motors Patient Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 2310,NITRO HB 2310 Deux Moteurs Lit Patient,NITRO HB 2310 Two Motors Patient Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 3110,NITRO HB 3110 Trois Moteurs Lit Patient,NITRO HB 3110 Three Motors Patient Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 3130,NITRO HB 3130 Trois Moteurs Lit Patient,NITRO HB 3130 Three Motors Patient Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 3320,NITRO HB 3320 Trois Moteurs Lit Patient,NITRO HB 3320 Three Motors Patient Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 4220,NITRO HB 4220 Quatre Moteurs Lit de Soins Intensifs,NITRO HB 4220 Four Motors ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 4310,NITRO HB 4310 Quatre Moteurs Lit de Soins Intensifs,NITRO HB 4310 Four Motors ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 4410,NITRO HB 4410 Quatre Moteurs Lit de Soins Intensifs,NITRO HB 4410 Four Motors ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 4430 P,NITRO HB 4430 P Quatre Moteurs Pediatric Lit de Soins Intensifs,NITRO HB 4430 P Four Motors Pediatric ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 5110,NITRO HB 5110 Cinq Moteurs Lateral Modele Colonne Lit de Soins Intensifs,NITRO HB 5110 Five Motors Lateral Column Model ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 5130,NITRO HB 5130 Quatre Moteurs Balance Modele Colonne Lit de Soins Intensifs,NITRO HB 5130 Four Motors Weight Scale Column Model ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 5220,NITRO HB 5220 Quatre Moteurs Modele Colonne Lit de Soins Intensifs,NITRO HB 5220 Four Motors Column Model ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 5230,NITRO HB 5230 Quatre Moteurs Modele Colonne Lit de Soins Intensifs,NITRO HB 5230 Four Motors Column Model ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 6220,NITRO HB 6220 Lit Hopital Bariatrique,NITRO HB 6220 Bariatric Hospital Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 6240,NITRO HB 6240 Quatre Moteurs Lit de Soins Intensifs,NITRO HB 6240 Four Motors ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 7000 W,NITRO HB 7000 W Quatre Moteurs Lit de Soins a Domicile,NITRO HB 7000 W Four Motors Home Care Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 7240,NITRO HB 7240 Serra Quatre Moteurs Lit de Soins a Domicile,NITRO HB 7240 Serra Four Motors Home Care Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 7250,NITRO HB 7250 Trois Moteurs Lit de Soins Patient,NITRO HB 7250 Three Motors Care Patient Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 7260,NITRO HB 7260 Serra Quatre Moteurs Lit de Soins a Domicile,NITRO HB 7260 Serra Four Motors Home Care Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 7260 F,NITRO HB 7260 F Serra Quatre Moteurs Lit de Soins a Domicile,NITRO HB 7260 F Serra Four Motors Home Care Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 8000,NITRO HB 8000 Sante Quatre Moteurs Lit de Soins Intensifs,NITRO HB 8000 Sante Four Motors ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 8000 B,NITRO HB 8000 B Quatre Moteurs Lit de Soins Intensifs Bariatrique,NITRO HB 8000 B Four Motors Bariatric ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 8000 T,NITRO HB 8000 T Quatre Moteurs Lit de Soins Intensifs avec Balance,NITRO HB 8000 T Four Motors Weight Scale ICU Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 8130,NITRO HB 8130 Sante Trois Moteurs Lit Patient,NITRO HB 8130 Sante Three Motors Patient Bed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
HB 8140 ELC,NITRO HB 8140 ELC Quatre Moteurs Lit de Soins Intensifs Lit Bas,NITRO HB 8140 ELC Four Motors ICU Bed Lowbed,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
JMM 01,JMM 01 Gynaecological Table Examen,JMM 01 Gynaecological Examination Table,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
JMM 02,Lit d'Accouchement Gynécologique JMM 02,JMM 02 Delivery Bed Gynaecological,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
JMM 03,JMM 03 Gynaecological Table Examen,JMM 03 Gynaecological Examination Table,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NHS 870,NHS 870 Dialysis Brancard,NHS 870 Dialysis Stretcher,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NHS 900,NHS 900 Fauteuil de Dialyse,NHS 900 Dialysis Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTHM 112,NTHM 112 Chariot Urgence,NTHM 112 Emergency Trolley,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTHM 113,NTHM 113 Medicine Et Treatment Chariot,NTHM 113 Medicine and Treatment Trolley,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTHM 114,NTHM 114 Medicine Et Treatment Chariot,NTHM 114 Medicine and Treatment Cart,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTHM 115,NTHM 115 Medicine Et Treatment Chariot,NTHM 115 Medicine and Treatment Trolley,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTHM 116,NTHM 116 Medicine Storage Chariot,NTHM 116 Medicine Storage Cart,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTHM 117,NTHM 117 Medicine Storage Chariot,NTHM 117 Medicine Storage Cart,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTHM 118,NTHM 118 Chariot de Pansement,NTHM 118 Dressing Cart,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTHM 118 B,NTHM 118 B Medicine Chariot Avec Barcode,NTHM 118 B Medicine Trolley with Barcode,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTS X10,NTS X10 Patient Chaise de Transport,NTS X10 Patient Transport Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTS X11,NTS X11 Deux Moteurs Fauteuil Donneur de Sang,NTS X11 Two Motors Blood Donor Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTS X12,NTS X12 Bariatric Chaise de Transport,NTS X12 Bariatric Transport Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTS X5,NTS X5 Patient Chaise de Transport,NTS X5 Patient Transport Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTS X6,NTS X6 Patient Chaise de Transport,NTS X6 Patient Transport Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTS X7,NTS X7 Fauteuil Donneur de Sang,NTS X7 Blood Donor Chair,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
NTS X8,NTS X8 Patient Chaise de Transport Height Adjustable,NTS X8 Patient Transport Chair Height Adjustable,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
OLHD 1006,OLHD 1006 Compact Table de Chevet,OLHD 1006 Compact Bedside Cabinet,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
OLHD 1007,OLHD 1007 Compact Table de Chevet,OLHD 1007 Compact Bedside Cabinet,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
OLHD 1008,OLHD 1008 Full Compact Table de Chevet,OLHD 1008 Full Compact Bedside Cabinet,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
OLHD 1009,OLHD 1009 Table de Chevet,OLHD 1009 Bedside Cabinet,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
OLHD 1011,OLHD 1011 Full Compact Table de Chevet,OLHD 1011 Full Compact Bedside Cabinet,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SD 01,NTCR SD 01 Brancard de Traitement Patient,NTCR SD 01 Patient Treatment Stretcher,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SD 01 P,NTCR SD 01 P Pediatric Transport Brancard,NTCR SD 01 P Pediatric Transport Stretcher,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SD 04,NTCR SD 04 Brancard Urgence,NTCR SD 04 Emergency Stretcher,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SD 05,NTCR SD 05 Brancard Urgence,NTCR SD 05 Emergency Stretcher,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SD 06,NTCR SD 06 Patient Brancard de Transfert,NTCR SD 06 Patient Transfer Stretcher,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SD 15,NTCR SD 15 Hydraulique Brancard Urgence,NTCR SD 15 Hydraulic Emergency Stretcher,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SDY 10,Table d'Examen Motorisée NTCR SDY 10,NTCR SDY 10 Motorized Examination Couch,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SDY 11,Table d'Examen Motorisée NTCR SDY 11,NTCR SDY 11 Motorized Examination Couch,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
SIGMA,NTCR SIGMA C-Arm Brancard,NTCR SIGMA C-Arm Stretcher,nitrocare,Racine,Mobilier et literie hospitaliers,hospital-furniture,active
ANNEAUXD,Anneaux de Silicone Rétiniens,Retinal Silicone Bands,fci,Ophtalmologie,Consommables,oph-consumable,active
COQUEDEP,Coque de Protection Oculaire,Ocular Protective Shell,fci,Ophtalmologie,Consommables,oph-consumable,active
FORMESPO,Conformateurs Oculaires,Ocular Conformers,fci,Ophtalmologie,Consommables,oph-consumable,active
IMPLANTC,Implant Chirurgie Cataracte,Cataract Surgery Implant,fci,Ophtalmologie,Consommables,oph-consumable,active
IMPLANTG,Implant Glaucome PAUL,PAUL Glaucoma Implant,fci,Ophtalmologie,Consommables,oph-consumable,active
KAHOOKDU,Lame Double Kahook,Kahook Dual Blade,fci,Ophtalmologie,Consommables,oph-consumable,active
KITAROKI,Accessoire Médical Professionnel Premium,Premium Professional Medical Accessory,fci,Ophtalmologie,Consommables,oph-consumable,active
OCUBLUTR,Bleu Trypan Ophtalmique,Ophthalmic Trypan Blue,fci,Ophtalmologie,Consommables,oph-consumable,active
PLANCHER,Implant Plancher Orbitaire,Orbital Floor Implant,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1361, S1.1371",Système d'Intubation Lacrymale FCI Nunchaku,FCI Nunchaku Lacrimal Intubation System,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1390, S1.1391, S1.1392",Sonde Bicanaliculaire Autostable II,Self-Stabilizing Bicanalicular Probe II,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1401, S1.1421",Sonde d'Intubation BIKA pour DCR,BIKA DCR Intubation Probe,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1451, S1.1491",Système d'Intubation Bicanaliculonasale Ritleng,Ritleng Bicanaliculonasal Intubation System,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1456, S1.1496",Intubation Bicanaliculonasale Autostable Ritleng+,Ritleng+ Self-Stabilizing Bicanaliculonasal Intubation,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1501, S1.1521",Sonde d'Intubation Monocanaliculaire Mini-Monoka,Mini-Monoka Monocanalicular Intubation Probe,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1515, S1.1522, S1.1530, S1.1535, S1.1540, S1.1545, S1.1550",Système d'Intubation Monocanaliculonasale Préchargé LacriJet,LacriJet Pre-loaded Monocanaliculonasal Intubation System,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1608, S1.1609, S1.1610",Sonde Monocanaliculonasale Autostable Masterka,Masterka Self-Stabilizing Monocanaliculonasal Probe,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1621, S1.1631, S1.1661, S1.1711",Sonde d'Intubation Monocanaliculaire Monoka,Monoka Monocanalicular Intubation Probe,fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.1801, S1.1811, S1.1821",Sonde d'Intubation Monoka Fayet-Bernard (Technique de Ritleng),Monoka Fayet-Bernard Intubation Probe (Ritleng Technique),fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.3511, S1.3521",Bouchon Perforateur Punctal Prêt à la Pose (Clou-Trou),Ready-to-Use Punctal Perforator Plug (Clou-Trou),fci,Ophtalmologie,Consommables,oph-consumable,active
"S1.4121, S1.4122, S1.4131, S1.4132",Système de Dilatation par Cathéter à Ballonnet Ophtacath,Ophtacath Balloon Catheter Dilation System,fci,Ophtalmologie,Consommables,oph-consumable,active
VALVEGLA,Valve de Drainage Glaucome,Glaucoma Drainage Valve,fci,Ophtalmologie,Consommables,oph-consumable,active
ISO-ISS-16X5,Solution Saline ISOMAX,ISOMAX saline solution,isomax,Ophtalmologie,Consommables,oph-consumable,active
11ACB,JETRING 11mm - Anneau de tension capsulaire préchargé,JETRING 11mm - Preloaded Capsular Tension Ring,medicontur,Ophtalmologie,Consommables,oph-consumable,active
12ACB,JETRING 12mm - Anneau de tension capsulaire préchargé,JETRING 12mm - Preloaded Capsular Tension Ring,medicontur,Ophtalmologie,Consommables,oph-consumable,active
640ADY,Q-Flex HL - LIO copolymère monofocale,Q-Flex HL - Copolymer Monofocal IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
640CMY,Q-Flex M Trifocal Diffractif - LIO copolymère trifocale préchargée,Q-Flex M Trifocal Diffractive - Preloaded Trifocal Copolymer IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
677ADY,Bi-Flex HL - LIO copolymère monofocale,Bi-Flex HL - Copolymer Monofocal IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
677CMTY,Liberty Trifocal Toric - LIO copolymère trifocale torique diffractive préchargée,Liberty Trifocal Toric - Preloaded Diffractive Toric Trifocal Copolymer IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
677CMY,Liberty Trifocal - LIO copolymère trifocale diffractive préchargée,Liberty Trifocal - Preloaded Diffractive Trifocal Copolymer IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
677CTAY,Bi-Flex T Préchargé - LIO copolymère torique préchargée,Bi-Flex T Preloaded - Preloaded Toric Copolymer IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
677TAY,Bi-Flex T - LIO copolymère torique,Bi-Flex T - Toric Copolymer IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
877PA,Bi-Flex POB-MA (UV) - LIO hydrophobe monofocale préchargée,Bi-Flex POB-MA (UV) - Preloaded Hydrophobic Monofocal IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
877PAY,Bi-Flex POB-MA (UV + Lumière bleue) - LIO hydrophobe monofocale préchargée jaune,Bi-Flex POB-MA (UV + Blue Light) - Preloaded Yellow Hydrophobic Monofocal IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
877PETY,Bi-Flex ELON TORIQUE - Implant EDOF hydrophobe torique préchargé,Bi-Flex ELON TORIC - Preloaded Hydrophobic Toric EDOF Implant,medicontur,Ophtalmologie,Consommables,oph-consumable,active
877PEY,Bi-Flex ELON - Implant EDOF hydrophobe préchargé,Bi-Flex ELON - Preloaded Hydrophobic EDOF Implant,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A45SML,Scharioth Macula Lens (SML) - Lentille maculaire pour DMLA sèche,Scharioth Macula Lens (SML) - Macular Lens for Dry AMD,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A45SMY,Scharioth Macula Lens Jaune (SML) - Lentille maculaire pour DMLA sèche,Scharioth Macula Lens Yellow (SML) - Macular Lens for Dry AMD,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A4DW0M,1stQ AddOn Trifocal - Implant additionnel trifocal diffractif,1stQ AddOn Trifocal - Diffractive Trifocal Add-on IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A4EW0M,1stQ AddOn Trifocal (avec correction sphérique) - Implant additionnel trifocal,1stQ AddOn Trifocal (with spherical correction) - Trifocal Add-on IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A4FW00,1stQ AddOn Sphéro-Torique (Cylindres hauts) - Implant additionnel sphéro-torique,1stQ AddOn Sphero-Toric (High Cylinders) - Sphero-Toric Add-on IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A4FW0T,1stQ AddOn Sphéro-Torique (Cylindres bas) - Implant additionnel sphéro-torique,1stQ AddOn Sphero-Toric (Low Cylinders) - Sphero-Toric Add-on IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A4HW0M,1stQ AddOn Trifocal Torique - Implant additionnel trifocal torique diffractif,1stQ AddOn Trifocal Toric - Diffractive Toric Trifocal Add-on IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A4SW00,1stQ AddOn Monofocal - Implant additionnel monofocal,1stQ AddOn Monofocal - Monofocal Add-on IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A4TW00,1stQ AddOn Torique (Cylindres hauts) - Implant additionnel torique,1stQ AddOn Toric (High Cylinders) - Toric Add-on IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
A4TW0T,1stQ AddOn Torique (Cylindres bas) - Implant additionnel torique,1stQ AddOn Toric (Low Cylinders) - Toric Add-on IOL,medicontur,Ophtalmologie,Consommables,oph-consumable,active
Biovis-1.6,BioVis 1.6% - Solution viscoélastique NaHA cohésive,BioVis 1.6% - Cohesive NaHA Viscoelastic Solution,medicontur,Ophtalmologie,Consommables,oph-consumable,active
Biovis-1.8,BioVis 1.8% - Solution viscoélastique NaHA cohésive,BioVis 1.8% - Cohesive NaHA Viscoelastic Solution,medicontur,Ophtalmologie,Consommables,oph-consumable,active
Biovis-3.0,BioVis 3.0% - Solution viscoélastique NaHA dispersive,BioVis 3.0% - Dispersive NaHA Viscoelastic Solution,medicontur,Ophtalmologie,Consommables,oph-consumable,active
ISPACE-1.55,I.Space - Solution viscoélastique NaHA + Mannitol,I.Space - NaHA + Mannitol Viscoelastic Solution,medicontur,Ophtalmologie,Consommables,oph-consumable,active
VISCO-MC,Visco MC - Solution viscoélastique HPMC,Visco MC - HPMC Viscoelastic Solution,medicontur,Ophtalmologie,Consommables,oph-consumable,active
