referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured,originalReference,processedSlug,variantIndex
4000015,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000015,Accessories NEO 900 - 4000015,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000015,7
4000018,haag-streit,surgery-instruments,Accessoires NEO 900 - 4000018,Accessories NEO 900 - 4000018,Gamme complète d'accessoires pour microscope Hi-R NEO 900: • EIBOS 2: Ophtalmoscope grand angle non-contact pour chirurgie vitréorétinienne - Lentilles 90D (procédures maculaires) et SPXL (grand angle) - Inverseur et focus intégrés • TOCULAR: Oculaire rotatif avec réticule pour alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° ou latérale • Vertiscope: Composant optique pour posture ergonomique du chirurgien • C.RED 900: Rehausseur de réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomique sans fil (14 fonctions) • Floor stand FS 2-25: Support au sol avec freins électromagnétiques • Caméras et moniteurs HD pour documentation et enseignement.,Gamme complète d'accessories for microscope Hi-R NEO 900: • EIBOS 2: ophthalmoscope grand angle non-contact for surgery vitréorétinienne - Lentilles 90D (procédures maculaires) and SPXL (grand angle) - Inverseur and focus intégrés • TOCULAR: ocular rotatif with réticule for alignement IOL toriques • Scopes assistants: Observation stéréoscopique 0° or latérale • Vertiscope: Composant optique for posture ergonomic of the chirurgien • C.RED 900: Rehausseur of réflex rouge intégré • Foot switches EF 5000/EF 5001: Contrôle ergonomic wireless (14 fonctions) • Floor stand FS 2-25: Support au sol with freins électromagnétiques • Caméras and moniteurs HD for documentation and enseignement.,,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000006, 4000007, 4000060, 4000061, 4000011, 4000012, 4000054, 4000015, 4000018",accessoires-neo-900-4000018,8
"4000037 (NEO 900), 4000038 (NEO 900A)",haag-streit,ophthalmology-surgical,Hi-r NEO 900,Hi-r NEO 900,"Microscope chirurgical ophtalmologique haute qualité pour chirurgie première classe. • Base stéréo 25mm pour perception 3D supérieure • Technologie C.RED pour réflex rouge brillant et stable • Double illumination LED 50W • Inclinaison -70° à +90° • Affichage intégré des paramètres • Changeur de grossissement 5 étapes intégré NEO 900A: Version enseignement avec microscope assistant Accessoires: • EIBOS 2: Ophtalmoscope sans contact grand angle pour vitréorétine • TOCULAR: Oculaire rotatif pour alignement IOL toriques • C.MOR HD: Caméra vidéo Full HD • C.MON HD: Moniteur tactile 21.5"" • MIOS 5: Système d'imagerie et d'enregistrement.","Microscope surgical ophtalmologique high quality for surgery première classe. • Base stéréo 25mm for perception 3D supérieure • Technologie C.RED for réflex rouge brillant and stable • double illumination LED 50W • Inclinaison -70° to +90° • Affichage intégré of the paramètres • Changeur of magnification 5 étapes intégré NEO 900A: Version enseignement with microscope assistant accessories: • EIBOS 2: ophthalmoscope without contact grand angle for vitréorétine • TOCULAR: ocular rotatif for alignement IOL toriques • C.MOR HD: camera vidéo Full HD • C.MON HD: Moniteur tactile 21.5"" • MIOS 5: system d'imagerie and d'enregistrement.",,,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Brochures/English/HS_hi_r_neo_900_br_xxx_for_first_class_surgery.pdf,https://haag-streit.com/2%20Products/Surgical/Surgical%20microscopes/Hi-R%20Neo%20900/Images/9330/image-thumb__9330__highlightProductsMain/HS_hi_r_neo_900_ci_xxx_header_overview.3bab0698.avif,active,false,"4000037 (NEO 900), 4000038 (NEO 900A)",hi-r-neo-900,0
-,haag-streit,ophthalmology-surgical,IM 600/Im 900/Im 910,IM 600/Im 900/Im 910,Systèmes d'imagerie intégrés pour lampes à fente Haag-Streit. IM 600: Solution économique pour BP 900 et BQ 900 • Capteur,Systèmes d'imagerie intégrés for lampes to fente Haag-Streit. IM 600: Solution économique for BP 900 and BQ 900 • Capteur,,,https://files.advancingeyecare.com/Haag-Streit/SL-Imaging.pdf,https://haag-streit.com/2%20Products/General%20diagnostics/Slit%20lamp%20imaging/IM%20600/Images/8716/image-thumb__8716__highlightProductsMain/HS_im_600_ci_7220538_header_im_600.74162836.avif,active,false,-,im-600-im-900-im-910,0
1009000,haag-streit,ophthalmology-surgical,Lenstar LS 900 - 1009000,Lenstar LS 900 - 1009000,Biomètre optique gold standard pour chirurgie de la,Biomètre optique gold standard for surgery of the,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Brochures/English/HS_lenstar_900_br_7220460_improving_outcomes.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Images/29023/image-thumb__29023__highlightProductsMain/HS_lenstar_900_ci_7220460_header_overview_cornea.226d9d40.avif,active,false,"1009000, 7220096, 7220376, 7220400, 1009001, 7220460, 7220494, 7220497",lenstar-ls-900-1009000,0
7220096,haag-streit,ophthalmology-surgical,Lenstar LS 900 - 7220096,Lenstar LS 900 - 7220096,Biomètre optique gold standard pour chirurgie de la,Biomètre optique gold standard for surgery of the,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Brochures/English/HS_lenstar_900_br_7220460_improving_outcomes.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Images/29023/image-thumb__29023__highlightProductsMain/HS_lenstar_900_ci_7220460_header_overview_cornea.226d9d40.avif,active,false,"1009000, 7220096, 7220376, 7220400, 1009001, 7220460, 7220494, 7220497",lenstar-ls-900-7220096,1
7220376,haag-streit,ophthalmology-surgical,Lenstar LS 900 - 7220376,Lenstar LS 900 - 7220376,Biomètre optique gold standard pour chirurgie de la,Biomètre optique gold standard for surgery of the,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Brochures/English/HS_lenstar_900_br_7220460_improving_outcomes.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Images/29023/image-thumb__29023__highlightProductsMain/HS_lenstar_900_ci_7220460_header_overview_cornea.226d9d40.avif,active,false,"1009000, 7220096, 7220376, 7220400, 1009001, 7220460, 7220494, 7220497",lenstar-ls-900-7220376,2
7220400,haag-streit,ophthalmology-surgical,Lenstar LS 900 - 7220400,Lenstar LS 900 - 7220400,Biomètre optique gold standard pour chirurgie de la,Biomètre optique gold standard for surgery of the,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Brochures/English/HS_lenstar_900_br_7220460_improving_outcomes.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Images/29023/image-thumb__29023__highlightProductsMain/HS_lenstar_900_ci_7220460_header_overview_cornea.226d9d40.avif,active,false,"1009000, 7220096, 7220376, 7220400, 1009001, 7220460, 7220494, 7220497",lenstar-ls-900-7220400,3
1009001,haag-streit,ophthalmology-surgical,Lenstar LS 900 - 1009001,Lenstar LS 900 - 1009001,Biomètre optique gold standard pour chirurgie de la,Biomètre optique gold standard for surgery of the,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Brochures/English/HS_lenstar_900_br_7220460_improving_outcomes.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Images/29023/image-thumb__29023__highlightProductsMain/HS_lenstar_900_ci_7220460_header_overview_cornea.226d9d40.avif,active,false,"1009000, 7220096, 7220376, 7220400, 1009001, 7220460, 7220494, 7220497",lenstar-ls-900-1009001,4
7220460,haag-streit,ophthalmology-surgical,Lenstar LS 900 - 7220460,Lenstar LS 900 - 7220460,Biomètre optique gold standard pour chirurgie de la,Biomètre optique gold standard for surgery of the,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Brochures/English/HS_lenstar_900_br_7220460_improving_outcomes.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Images/29023/image-thumb__29023__highlightProductsMain/HS_lenstar_900_ci_7220460_header_overview_cornea.226d9d40.avif,active,false,"1009000, 7220096, 7220376, 7220400, 1009001, 7220460, 7220494, 7220497",lenstar-ls-900-7220460,5
7220494,haag-streit,ophthalmology-surgical,Lenstar LS 900 - 7220494,Lenstar LS 900 - 7220494,Biomètre optique gold standard pour chirurgie de la,Biomètre optique gold standard for surgery of the,,,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Brochures/English/HS_lenstar_900_br_7220460_improving_outcomes.pdf,https://haag-streit.com/2%20Products/Speciality%20diagnostics/Biometry/Lenstar%20900/Images/29023/image-thumb__29023__highlightProductsMain/HS_lenstar_900_ci_7220460_header_overview_cornea.226d9d40.avif,active,false,"1009000, 7220096, 7220376, 7220400, 1009001, 7220460, 7220494, 7220497",lenstar-ls-900-7220494,6
