referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured
IMPLANTC,fci,surgery-instruments,Implant ClearPath® 250implant à Glaucome du Dr Ahmed,Implant ClearPath® 250implant to Glaucoma of the Dr Ahmed,Indication :L’implant ClearPath® 250 est indiqué dans le traitement chirurgical du glaucome après échec des chirurgies filtrantes antérieures.Un tel glaucome réfractaire peut,Indication :L’implant ClearPath® 250 est indiqué dans the treatment surgical of the glaucoma après échec of the chirurgies filtrantes antérieures.a tel glaucoma réfractaire peut,,,https://www.fci.fr/wp-content/uploads/2022/05/CLEARPATH-250-BD-FCI22.004.pdf,https://www.fci.fr/wp-content/uploads/2022/04/Implant-ClearPath-2-400x400.png | https://www.fci.fr/wp-content/uploads/2022/04/Implant-ClearPath-400x400.png | https://www.fci.fr/wp-content/uploads/2022/04/Implant-ClearPath-3-400x400.png | https://www.fci.fr/wp-content/uploads/2020/04/Implant-de-Paul-fond-bleu-1-400x400.jpg | https://www.fci.fr/wp-content/uploads/2022/04/KDB-Glide-scaled-e1662986369763-579x400.jpg,active,false
PINCEGLA,fci,surgery-instruments,Pince à Glaucome de Mermoud,Forceps to Glaucoma of Mermoud,• Acier inoxydable• Restérilisable La pince à glaucome de Mermoud (classe I) est distribuée par FCI S.A.S. et fabriquée par FIMCO. La pince à glaucome de Mermoud (classe I) est distribuée par FCI S.A.S. et fabriquée par FIMCO.,• stainless steel• Restérilisable the forceps to glaucoma of Mermoud (classe I) est distribuée par FCI S.A.S. and fabriquée par FIMCO. the forceps to glaucoma of Mermoud (classe I) est distribuée par FCI S.A.S. and fabriquée par FIMCO.,,,https://www.fci.fr/wp-content/uploads/2021/07/Cat.-INSTRUMENTATION_BD_FCI18.016-IndC.pdf,https://www.fci.fr/wp-content/uploads/2019/08/Pince-de-Mermoud_F127B-2-600x143.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Pince-de-Paufique_A6.8000-2-600x112.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.4000-533x400.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Ciseaux-Vannas_A3.4000-2-400x400.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Micro-Porte-Aiguille-Barraquer-Troutman_A7.3010-2-600x177.jpg,active,false
KAHOOKDU,fci,surgery-instruments,Kahook Dual Blade Glide®,Kahook Dual Blade Glide®,"Indication :Le couteau Kahook Dual Blade Glide® (KDB) permet de réaliser une goniotomie excisionnelle sur 90° à 120° et de traiter le glaucome sans poser d’implant. Avant l’utilisation du KDB GLIDE®, une formation pratique est requise. Merci de nous contacterLe KDB GLIDE®, de classe","Indication :the knife Kahook Dual Blade Glide® (KDB) permet of réaliser a goniotomie excisionnelle sur 90° to 120° and of traiter the glaucoma without poser d’implant. Avant l’utilisation of the KDB GLIDE®, a formation pratique est requise. Merci of nous contacterLe KDB GLIDE®, of classe",,,https://www.fci.fr/wp-content/uploads/2022/05/KDB-GLIDE_BD_FCI22.005-ind-A.pdf,https://www.fci.fr/wp-content/uploads/2022/04/KDB-Glide-scaled-e1662986369763-579x400.jpg | https://www.fci.fr/wp-content/uploads/2022/04/KDB-illustration-411x400.jpg | https://www.fci.fr/wp-content/uploads/2022/04/KDB-Step.jpg,active,false
IMPLANTG,fci,surgery-instruments,Implant à Glaucome de Paul®,Implant to Glaucoma of Paul®,Indications :L’implant à glaucome de Paul®est destiné au traitement chirurgical du glaucome après échec des chirurgies filtrantes antérieures. Il s’agit en général de : L’implant de PAUL ® (classe IIb) est destinée à la chirurgie du glaucome. Elle est distribuée par FCI S.A.S. et fabriquée par : Advanced Ophthalmic Innovations Pte Ltd. Organisme notifié : BSI CE n° 0086. L’implant de PAUL ® (classe IIb) est destinée à la chirurgie du glaucome. Elle est distribuée par FCI S.A.S. et fabriquée par : Advanced Ophthalmic Innovations Pte Ltd. Organisme notifié : BSI CE n° 0086.,Indications :L’implant to glaucoma of Paul®est destiné au treatment surgical of the glaucoma après échec of the chirurgies filtrantes antérieures. Il s’agit en général of : L’implant of PAUL ® (classe IIb) est destinée to the surgery of the glaucoma. Elle est distribuée par FCI S.A.S. and fabriquée par : Advanced Ophthalmic Innovations Pte Ltd. Organisme notifié : BSI CE n° 0086. L’implant of PAUL ® (classe IIb) est destinée to the surgery of the glaucoma. Elle est distribuée par FCI S.A.S. and fabriquée par : Advanced Ophthalmic Innovations Pte Ltd. Organisme notifié : BSI CE n° 0086.,,,https://www.fci.fr/wp-content/uploads/2020/03/Implant-à-glaucome-de-PAUL.pdf,https://www.fci.fr/wp-content/uploads/2020/04/Implant-de-Paul-fond-bleu-1-400x400.jpg | https://www.fci.fr/wp-content/uploads/2020/04/Implant-glaucome-de-Paul-400x400.jpg | https://www.fci.fr/wp-content/uploads/2020/04/Implant-glaucome-de-Paul-schema-548x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/model_fp7-400x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/crescent-sharptome_03-400x400.jpg,active,false
COUTEAUX,fci,surgery-instruments,Couteaux Sécurisés Surgicut Protect,Knives Safety Surgicut Protect,Les couteaux de sécurité à usage unique SURGICUT PROTECT ont été conçus afin de réduire les risques de blessure accidentelle par,The knives of sécurité to single-use SURGICUT PROTECT ont été conçus afin of réduire the risques of blessure accidentelle par,,,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-SURGICUT-PROTECT_FCI23.008.pdf,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Droits-securises-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Crescent-securises-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Cleau-cornea-et-slit-securises-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Cleau-cornea-et-slit_2-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-vitrectomie-securises-493x400.jpg,active,false
COUTEAUX,fci,surgery-instruments,Couteaux Crescent,Knives Crescent,Les couteaux Crescent à usage unique sont spécifiquement conçus pour réaliser des volets scléraux et des tunnels cornéens. Couteaux Crescent Sharptome™ : Couteau Mini-crescent : Les couteaux à usage unique,The knives Crescent to single-use sont spécifiquement conçus for réaliser of the volets scléraux and of the tunnels cornéens. knives Crescent Sharptome™ : knife mini-crescent : the knives to single-use,,,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-SURGICUT_FCI23.005.pdf,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Crescent-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Droits-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-vitrectomie_2-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Cleau-cornea-et-slit-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Droits-securises-493x400.jpg,active,false
COUTEAUX,fci,surgery-instruments,Couteaux Droits,Knives Straight,Les couteaux droits à usage unique permettent de réaliser une paracentè,The knives straight to single-use permettent of réaliser a paracentè,,,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-SURGICUT_FCI23.005.pdf,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Droits-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Droits-securises-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Cleau-cornea-et-slit-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Crescent-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-vitrectomie_2-493x400.jpg,active,false
COUTEAUX,fci,surgery-instruments,Couteaux Slit & Clear Cornea,Knives Slit & Clear Cornea,Les couteaux Slit et Clear Cornea permettent de réaliser des incisions cornéennes et sclérales. Les couteaux à usage unique,The knives Slit and Clear Cornea permettent of réaliser of the incisions cornéennes and sclérales. the knives to single-use,,,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-SURGICUT_FCI23.005.pdf,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Cleau-cornea-et-slit-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Cleau-cornea-et-slit_2-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Slit-et-clear-cornea-schemas-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Droits-securises-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-vitrectomie_2-493x400.jpg,active,false
COUTEAUX,fci,surgery-instruments,Couteaux de Vitrectomie,Knives of Vitrectomy,Les couteaux de vitrectomie à usage unique permettent de réaliser une paracentè,The knives of vitrectomy to single-use permettent of réaliser a paracentè,,,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-SURGICUT_FCI23.005.pdf,https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-vitrectomie_2-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Cleau-cornea-et-slit-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Droits-securises-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Droits-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Crescent-493x400.jpg,active,false
FORMESPO,fci,ophthalmology-surgical,Formes pour Énophtalmieimplants Omnipore® Matrix,Forms for Énophtalmieimplants Omnipore® Matrix,Les formes pour énophtalmie permettent de remonter verticalement et d’intérioriser la position du globe oculaire. Ils concourrent à augmenter le volume intraorbitaire dans l’optique d’améliorer l’énophtalmie.Deux tailles sont disponibles en orientation droite et gauche. • Fabriquées en polyéthylène haute densité poreux• Pour la chirurgie reconstructrice et esthétique• Stérile Ces,The forms for enophthalmos permettent of remonter verticalement and d’intérioriser the position of the globe ocular. Ils concourrent to augmenter the volume intraorbitaire dans l’optique d’améliorer l’enophthalmos.Deux tailles sont disponibles en orientation droite and gauche. • Fabriquées en polyéthylène haute densité poreux• for the surgery reconstructrice and esthétique• sterile Ces,,,https://www.fci.fr/wp-content/uploads/2025/05/Planchers-et-formes-MATRIX_Extrait-du-catalogue.pdf,https://www.fci.fr/wp-content/uploads/2025/07/Formes-pour-enophtalmie-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Formes-pour-enophtalmie-2-493x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/Set-de-gabarits-billes.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-1.5mm-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-1mm-493x400.jpg,active,false
KITAROKI,fci,ophthalmology-surgical,Kitaro® Kits,Kitaro® Kits,Le Kitaro® DryLab & WetLabest a kit conçu pour l’entraî,The Kitaro® DryLab & WetLabest a kit conçu for l’entraî,,,https://www.fci.fr/wp-content/uploads/2016/04/KITARO-FCI12.065ind-B.pdf,https://www.fci.fr/wp-content/uploads/2015/01/K-5000-374x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Crescent-493x400.jpg | https://www.fci.fr/wp-content/uploads/2020/04/ATC-type-13.jpg | https://www.fci.fr/wp-content/uploads/2020/06/6D-MORCHER-Capsular-Tension-Segment-469x400.jpg | https://www.fci.fr/wp-content/uploads/2020/06/19D-MORCHER-Capsular-Tension-Ring-464x400.jpg,active,false
KITAROKI,fci,surgery-instruments,Kitaro Kits – Smart Series,Kitaro Kits – Smart Series,Les KITARO KITS SMART SERIES ont été conçus pour les utilisateurs de niveau intermédiaire et avancé afin depratiquer les techniques utilisées dans les cas de chirurgies complexes. Ces kits permettent de se perfectionnerdans la gestion de complications telles que l’implantation d’anneaux de tension,The KITARO KITS SMART SERIES ont été conçus for the utilisateurs of niveau intermédiaire and avancé afin depratiquer the techniques utilisées dans the cas of chirurgies complexes. Ces kits permettent of se perfectionnerdans the gestion of complications telles que l’implantation d’rings of tension,,,https://www.fci.fr/wp-content/uploads/2016/04/KITARO-FCI12.065ind-B.pdf,https://www.fci.fr/wp-content/uploads/2015/01/IMG_6591-533x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/KS-10_Open-300x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/KS-20_Open-300x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/KS-30_Open-300x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/KS-40_Open-300x400.jpg,active,false
COQUEDEP,fci,surgery-instruments,Coque de Protection Oculaire Universelle,Coque of Protection Ocular Universelle,Les coques,The coques,,,https://www.fci.fr/wp-content/uploads/2025/11/COQUE-OCULAIRE_FCI21.011.pdf,https://www.fci.fr/wp-content/uploads/2025/11/Coque-oculaire.jpg | https://www.fci.fr/wp-content/uploads/2025/11/Coque-oculaire-blister.jpg | https://www.fci.fr/wp-content/uploads/2015/01/K-5000-374x400.jpg | https://www.fci.fr/wp-content/uploads/2020/06/6D-MORCHER-Capsular-Tension-Segment-469x400.jpg | https://www.fci.fr/wp-content/uploads/2025/06/Couteaux-Cleau-cornea-et-slit-493x400.jpg,active,false
PINCEPTO,fci,ophthalmology-surgical,Pince à Ptosis du Dr Rubanpince à Ptosis à Cliquet Protégé,Forceps to Ptosis of the Dr Rubanpince to Ptosis to Cliquet Protégé,Indications :Chirurgie du ptosis par résection du muscle,Indications :surgery of the ptosis par résection of the muscle,,,https://www.fci.fr/wp-content/uploads/2021/07/Cat.-INSTRUMENTATION_BD_FCI18.016-IndC.pdf,https://www.fci.fr/wp-content/uploads/2020/06/Pince-à-Ptosis-F101R-600x214.jpg | https://www.fci.fr/wp-content/uploads/2020/06/Pince-à-Ptosis-mors-F101R.jpg | https://www.fci.fr/wp-content/uploads/2020/06/Pince-à-Ptosis-cliquet-F101R.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Pince-à-disséquer_A6.3100-2-600x384.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Pince-Halstead_A6.4000-2-600x400.jpg,active,false
PLANCHER,fci,ophthalmology-surgical,Planchers D’orbiteimplants Omnipore® Matrix,Planchers D’orbiteimplants Omnipore® Matrix,Les planchers OMNIPORE® sont utilisés pour la reconstruction et l’augmentation craniofaciales et sont disponibles dans une variété de tailles et d’épaisseurs.Tous ces implants sont stériles et emballés individuellement. Ils peuvent être découpés pendant l’intervention afin de s’adapter à l’anatomie du patient. Les planchers 3S™ ont une surface supérieure lisse qui permet d’empêcher la fixation des tissus orbitaires mous à la surface supérieure de l’implant. • Fabriquées en polyéthylène haute densité poreux• Epaisseurs :,The planchers OMNIPORE® sont utilisés for the reconstruction and l’augmentation craniofaciales and sont disponibles dans a variété of tailles and d’épaisseurs.Tous ces implants sont stériles and emballés individuellement. Ils peuvent être découpés pendant l’procedure afin of s’adapter to l’anatomie of the patient. the planchers 3S™ ont a surface supérieure smooth qui permet d’empêcher the fixation of the tissus orbitaires mous to the surface supérieure of l’implant. • Fabriquées en polyéthylène haute densité poreux• Epaisseurs :,,,https://www.fci.fr/wp-content/uploads/2025/05/Planchers-et-formes-MATRIX_Extrait-du-catalogue.pdf,https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Matrix-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Matrix-3S-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Matrix-3S-schema-493x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/Set-de-gabarits-billes.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-1.5mm-493x400.jpg,active,false
PLANCHER,fci,ophthalmology-surgical,Planchers D’orbite Duromax® 3S™Implants Omnipore® Matrix,Planchers D’orbit Duromax® 3S™Implants Omnipore® Matrix,Les implants orbitaux OMNIPORE® DUROMAX® 3S™ sont destinés à la chirurgie réparatrice maxillo-faciale sans contrainte biomécanique. Ces implants ont une surface supérieure lisse qui permet d’empêcher la fixation des tissus mous orbitaires à la surface supérieure de l’implant. Ces implants sont fabriqués avec du titane de qualité médicale. • Fabriquées en polyéthylène haute densité poreux• Assurer a contrôle radiographique post-opératoire• Forme anatomique modelable• Les maillons permettent de positionner des vis de fixation si nécessaire• Epaisseur :,The implants orbitaux OMNIPORE® DUROMAX® 3S™ sont destinés to the surgery réparatrice maxillo-faciale without contrainte biomécanique. Ces implants ont a surface supérieure smooth qui permet d’empêcher the fixation of the tissus mous orbitaires to the surface supérieure of l’implant. Ces implants sont fabriqués with of the titanium of qualité médicale. • Fabriquées en polyéthylène haute densité poreux• Assurer a contrôle radiographique post-opératoire• Forme anatomique modelable• the maillons permettent of positionner of the vis of fixation si nécessaire• Epaisseur :,,,https://www.fci.fr/wp-content/uploads/2025/05/Planchers-et-formes-MATRIX_Extrait-du-catalogue.pdf,https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-1mm-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-3S-Petit-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-3S-Large-493x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/Set-de-gabarits-billes.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Matrix-493x400.jpg,active,false
PLANCHER,fci,ophthalmology-surgical,Planchers D’orbite DUROMAX®Implants Omnipore® Matrix,Planchers D’orbit DUROMAX®Implants Omnipore® Matrix,Les implants d’orbite OMNIPORE® DUROMAX® sont destinés à la chirurgie réparatrice maxillo-faciale sans contrainte biomécanique. Ils sont fabriqués avec du titane de qualité médicale. • Fabriquées en polyéthylène haute densité poreux• Assurer a contrôle radiographique post-opératoire• Forme anatomique modelable• Les maillons permettent de positionner des vis de fixation si nécessaire• Deux épaisseurs :,The implants d’orbit OMNIPORE® DUROMAX® sont destinés to the surgery réparatrice maxillo-faciale without contrainte biomécanique. Ils sont fabriqués with of the titanium of qualité médicale. • Fabriquées en polyéthylène haute densité poreux• Assurer a contrôle radiographique post-opératoire• Forme anatomique modelable• the maillons permettent of positionner of the vis of fixation si nécessaire• Deux épaisseurs :,,,https://www.fci.fr/wp-content/uploads/2025/05/Planchers-et-formes-MATRIX_Extrait-du-catalogue.pdf,https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-1.5mm-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-1mm-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-Large-493x400.jpg | https://www.fci.fr/wp-content/uploads/2025/07/Plancher-Duromax-Petit-493x400.jpg | https://www.fci.fr/wp-content/uploads/2015/01/Set-de-gabarits-billes.jpg,active,false
"A10.1500, A1.2100, A3.1030, A6.2026, A6.8000, A7.1110, A8.3005",fci,surgery-instruments,Boite Chalazion,Boite Chalazion,Composition de la boite chirurgicale : Les,Composition of the boite chirurgicale : the,,,https://www.fci.fr/wp-content/uploads/2021/07/Cat.-INSTRUMENTATION_BD_FCI18.016-IndC.pdf,https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.1500-533x400.jpg | https://www.fci.fr/wp-content/uploads/2016/04/Boite-Paupiere-2-400x400.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.1600-533x400.jpg,active,false
"A10.1600, A3.1030, A3.3000, A6.6210, A6.8000, A6.8030, A7.1110, A8.3005",fci,surgery-instruments,Boite à Ptérygion,Boite to Ptérygion,Composition de la boite chirurgicale : Les,Composition of the boite chirurgicale : the,,,https://www.fci.fr/wp-content/uploads/2021/07/Cat.-INSTRUMENTATION_BD_FCI18.016-IndC.pdf,https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.1600-533x400.jpg | https://www.fci.fr/wp-content/uploads/2016/04/Boite-Paupiere-2-400x400.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.3000-533x400.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.1500-533x400.jpg | https://www.fci.fr/wp-content/uploads/2016/04/Boite-Retine-2-400x400.jpg,active,false
"A10.4000, A5.2113, A3.1210, A3.4030, A2.4400, A6.7110, A6.5110, A6.4100, A7.3110, A8.3010",fci,surgery-instruments,Boite à Glaucome,Boite to Glaucoma,Composition de la boite chirurgicale : Les,Composition of the boite chirurgicale : the,,,https://www.fci.fr/wp-content/uploads/2021/07/Cat.-INSTRUMENTATION_BD_FCI18.016-IndC.pdf,https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.4000-533x400.jpg | https://www.fci.fr/wp-content/uploads/2016/04/Boite-Paupiere-2-400x400.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.1600-533x400.jpg | https://www.fci.fr/wp-content/uploads/2019/08/Boîtes-Instrumentation-FCI-A10.1500-533x400.jpg,active,false
