referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured
19000,moria,ophthalmology-surgical,Diabolo Manipulator Crochet(bulbous Micro-collar Button Embout),Diabolo Manipulator Hook(bulbous Micro-collar Button Tip),"14-cm total longueur avec a angulé, partie active avec abulbousmicro-collar button embout.Can be used to hold et divide thecrystalline lensduringcataractsurgery.",14-cm total length with an,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/4dafc7816bf0e76b85c12611e83a97c839f4c514.jpg,active,false
19003,moria,surgery-instruments,Implant Pince(8-mm Mors),Implant Forceps(8-mm Jaws),12.8-cm direct-acting implant pince avec a 8-mm partie active.Can be used to implant ou explant a silicon ou acrylic cristallin.,12.8-cm direct-acting implant forceps with a 8-mm active part.Can be used to implant or explant a silicon or acrylic lens.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/6857dd922ebd20494541698d7ac30130068ae3c2.jpg,active,false
19009,moria,surgery-instruments,Beehler Mini Pupille Dilatateur,Beehler Mini Pupil Dilator,,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/49ebdb0ebc70a9702cef350a967da4f88db0fa89.jpg,active,false
19016,moria,surgery-instruments,Remplacement Embout(pour #19009),Replacement Tip(for #19009),Remplacement embout pour le Beehler pupille dilatateur (#19009).,Replacement tip for the Beehler Pupil Dilator (#19009).,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/0d59c501d444df269c6ba3a0f7916f11245b08e9.jpg,active,false
19017,moria,surgery-instruments,Lebuisson Canule(pour Lasik),Lebuisson Cannula(for Lasik),,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/af68d7afe3cd66e8d8270ef7ac1bdc82837024d7.jpg,active,false
19018,moria,surgery-instruments,Double-armed Canule(pour Lasik),Double-armed Cannula(for Lasik),Double-armedcannulalike a tuning fork avec 4 irrigation ports on each arm pour irrigation duringLASIKsurgery.,Double-armedcannulalike a tuning fork with 4 irrigation ports on each arm for irrigation duringLASIKsurgery.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/97998cd719723af048bcb1837d07d5c49199072a.jpg,active,false
19019,moria,ophthalmology-surgical,Bahamon Spatule(pour Lasik),Bahamon Spatula(for Lasik),Total longueur is 12.4 cm avec 9.5-mm semi-pointu edges pour lifting a cornealLASIKflap.,Total length is 12.4 cm with 9.5-mm semi-sharp edges for lifting a cornealLASIKflap.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/d8a3472bf0d68b85be06d0afb526fbb9ec99a5bb.jpg,active,false
19027,moria,surgery-instruments,Beehler Pupille Dilatateur,Beehler Pupil Dilator,,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a416aaad9d99ee5ad75deb5f2787c349a7b3c195.jpg,active,false
19030,moria,surgery-instruments,"Francesci Spéculum(fenestrated Lames, Adult)","Francesci Speculum(fenestrated Blades, Adult)",Réglable- lames: 19 mm.,Adjustable- Blades: 19 mm.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8f036f3af31565fbd364ee8d03cc7e6dd99c35ed.jpg,active,false
19039,moria,surgery-instruments,Remplacement Embout(pour #19009/2.8),Replacement Tip(for #19009/2.8),Remplacement embout pour le Beehler mini pupille dilatateur (#19009/2.8).,Replacement tip for the Beehler Mini Pupil Dilator (#19009/2.8).,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/1f81482a979278823cf40d2484b966683f8ab108.jpg,active,false
19047,moria,ophthalmology-diagnostic,Culbertson Marqueur(pour Lasik et Epi-lasik),Culbertson Marker(for Lasik and Epi-lasik),5-mark asymmetricCulbertsonmarkerto mark le cornée before ou duringLASIK/Epi-LASIKrefractive chirurgie pour propercorneal flapalignment.,5-mark asymmetricCulbertsonmarkerto mark the cornea before or duringLASIK/Epi-LASIKrefractive surgery for propercorneal flapalignment.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/21214ebd036c5e5b8e74006249c7416191c836b3.jpg,active,false
19048,moria,surgery-instruments,"Olivieri-cantera Spéculum(solid Lames, Adult)","Olivieri-cantera Speculum(solid Blades, Adult)",Réglable- lames: 14 mm.,Adjustable- Blades: 14 mm.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/dc4bad5f610c153b018d1ae8e97e39635efd5797.jpg,active,false
19050,moria,surgery-instruments,Remplacement Embout(pour #19027),Replacement Tip(for #19027),Remplacement embout pour Beehler pupille dilatateur (#19027). Total longueur 56,Replacement tip for Beehler Pupil Dilator (#19027). Total length 56,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a3c4fe7a99670c8fb7b2fb36e19a229f22ac7fbe.jpg,active,false
19068,moria,surgery-instruments,Haptic Cutter(pour IOL Explantation),Haptic Cutter(for IOL Explantation),15.4-cm total longueur avec 1-mm lames,15.4-cm total length with 1-mm blades,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/0162d76924c9d1f9c3149a13487fc577830b46b9.jpg,active,false
19069,moria,surgery-instruments,Aspirating Spéculum(open Square Lames),Aspirating Speculum(open Square Blades),Ré,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8eed126e452865410ebaec51f99fbb2f0351b2c6.jpg,active,false
19069T,moria,surgery-instruments,Silicone Tubing Remplacement Ensemble(pour Ref. #19069),Silicone Tubing Replacement Set(for Ref. #19069),Remplacement ensemble de silicone tubing forAspirating spéculum.,Replacement set of silicone tubing forAspirating Speculum.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/28767935cabf68049cf787a8c481f0584acaa9c3.jpg,active,false
19070,moria,surgery-instruments,Beehler Pupille Micro-dilatateur,Beehler Pupil Micro-dilator,,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/e54300a7f430beb6a3260f69128627007928299d.jpg,active,false
19072,moria,surgery-instruments,Flexible IOL Loop Cutter(pour IOL Explantation),Flexible IOL Loop Cutter(for IOL Explantation),Used in combination avec theSet de 3 usage unique loops.Can be used to cut a softIOLduring a IOLexplantationsurgery.,Used in combination with theSet of 3 single-use loops.Can be used to cut a softIOLduring an IOLexplantationsurgery.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/16441b91fae15a3942a364a95108ab7a89082f24.jpg,active,false
19073,moria,surgery-instruments,Ensemble de 3 Usage Unique Loops(pour Flexible IOL Loop Cutter (#19072)),Set of 3 Single-use Loops(for Flexible IOL Loop Cutter (#19072)),Ensemble de 3 usage unique stainless steelloopsfor theFlexible IOL Cutterto cut softIOLsduring anexplantationsurgery.,Set of 3 single-use stainless steelloopsfor theFlexible IOL Cutterto cut softIOLsduring anexplantationsurgery.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/188aac23c5a272de01f5178289ab6d491379fefc.jpg,active,false
19074,moria,surgery-instruments,IOL Explantation Pince(7-mm Dentelé Mors),IOL Explantation Forceps(7-mm Serrated Jaws),Total longueur is 11.9,Total length is 11.9,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/2389abcaa67406c5a318c15a784047a794f532fc.jpg,active,false
19076,moria,surgery-instruments,Remplacement Embout(pour #19070),Replacement Tip(for #19070),Remplacement embout pour Beehler pupille dilatateur (#19070). Total longueur 52,Replacement tip for Beehler Pupil Dilator (#19070). Total length 52,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/7f85dd60ba04836badd2c7ad5e23139021152dce.jpg,active,false
19078,moria,surgery-instruments,"Réglable Colibri Spéculum(open Square Lames avec Olive Embouts, Adult)","Adjustable Colibri Speculum(open Square Blades with Olive Tips, Adult)",Réglable- lames: 16 mm.,Adjustable- Blades: 16 mm.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/9ecaac23e7392735429f61a452b71d10de0626d4_180.jpg,active,false
19079,moria,surgery-instruments,"Hachet Pince à Capsulorhexis(2.2-mm Incision, Cross-action)","Hachet Capsulorhexis Forceps(2.2-mm Incision, Cross-action)",Cross-action capsulorhexis forcepswithcurved active partand ≈45°pointed embout to produce le rhexis de le antérieur capsular bag through a2.2-mmincision.,Cross-action capsulorhexis forcepswithcurved active partand ≈45°pointed tip to produce the rhexis of the anterior capsular bag through a2.2-mmincision.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/64cdfcd64ecd08283770676ae0c9c7622425d9f1.jpg,active,false
19080,moria,surgery-instruments,Fox Spatule(pour Lasik),Fox Spatula(for Lasik),Total longueur is 11.3,Total length is 11.3,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/d2c57aff6de24b2f8c040e27d2ba862a0f569abf.jpg,active,false
19082,moria,surgery-instruments,de Laage Pince(courbe),de Laage Forceps(curved),Total longueur is 94 cm avec 7-mm courbe partie active.Can be used pour deep sclerectomy.,Total length is 94 cm with 7-mm curved active part.Can be used for deep sclerectomy.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/1a196ed2038c6f2e3234dc750221c4e3a38265d3.jpg,active,false
19084,moria,surgery-instruments,À Double Extrémité Epi-lasik Spatule(pour Epi-lasik),Double-ended Epi-lasik Spatula(for Epi-lasik),12.5-cm longdouble-endedspatulawith:one 8-mm golf club-shaped atraumatic embout to fold theEpi-LASIKepithelial,12.5-cm longdouble-endedspatulawith:one 8-mm golf club-shaped atraumatic tip to fold theEpi-LASIKepithelial,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/c777bdce28b947e952dfe572c70b324104fbcbcf.jpg,active,false
19087,moria,surgery-instruments,Vryghem à Double Extrémité Spatule(pour Lasik),Vryghem Double-ended Spatula(for Lasik),12.2-cm long Vryghem à double extrémité spatule has:one 0.9-mm embout to open,12.2-cm long Vryghem Double-Ended Spatula has:one 0.9-mm tip to open,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ee84cd48aeb51451e771a4222bb689fcbebc1ba3.jpg,active,false
19088,moria,surgery-instruments,Epi-lasik Canule(pour Epi-lasik),Epi-lasik Cannula(for Epi-lasik),Angulatedwith courbe partie,Angulatedwith curved active,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/9cc2a6080c7a682c0fbcfd594ef9f0961d2c5a6b.jpg,active,false
19089,moria,ophthalmology-diagnostic,De-epithelialization Spatule(pour Surface Ablation),De-epithelialization Spatula(for Surface Ablation),Total longueur 11.3-,Total length 11.3-,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8a8fb9a16ac406f6deaada607bfdbc875380dfba.jpg,active,false
19091,moria,surgery-instruments,"Price Crochet(pour Dsaek, Dmek)","Price Hook(for Dsaek, Dmek)",Reverse Sinskey avec a total longueur de 11.7 cm et a 0.7-mm active embout.Can be used pour le rhexis de le Descemet membrane during endothelial kératoplastie (,Reverse Sinskey with a total length of 11.7 cm and a 0.7-mm active tip.Can be used for the rhexis of the Descemet membrane during endothelial keratoplasty (,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/e96aa3ab7309f9c8620664d24b830cd35c590c1a.jpg,active,false
19092,moria,surgery-instruments,Irrigation Port(20g),Irrigation Port(20g),Irrigation ou infusion port. longueur 170mm avec a external diamètre 1.65mm. partie active 5mm avec a internal diamètre 0.90mm. Can be used in endothelial kératoplastie.,Irrigation or infusion port. Length 170mm with an external diameter 1.65mm. Active part 5mm with an internal diameter 0.90mm. Can be used in endothelial keratoplasty.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/380994226116e8ff1c5813dbf9cb97d680b50adc.jpg,active,false
19095,moria,ophthalmology-surgical,Koch Rhexis Marqueur(ø 5.5-mm Rhexis),Koch Rhexis Marker(ø 5.5-mm Rhexis),5.5-mm diamètre marqueur tomarkthe cornée to guide pour thecapsulorhexisstep duringcataractsurgery.,5.5-mm diameter marker tomarkthe cornea to guide for thecapsulorhexisstep duringcataractsurgery.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/afa9ac95242d38cbea15ec8bf2d9e45212ac5ef0.jpg,active,false
19096,moria,surgery-instruments,"""S"" Marqueur(pour Dsaek)","""S"" Marker(for Dsaek)","""S""markerto stamp a ""S"" on le stromal side de aDSAEKendothelial graft.","""S""markerto stamp a ""S"" on the stromal side of aDSAEKendothelial graft.",,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/9f713b04aa149515fd6522945872461e043f4101.jpg,active,false
19097,moria,surgery-instruments,Gorovoy DSO Pince(pour Descemetorhexis),Gorovoy DSO Forceps(for Descemetorhexis),Inverted Utrata shaped avec mousse,Inverted Utrata shaped with blunt,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/51f8964066b668e86e2f3441e6dc9e607f1a07ea.jpg,active,false
19138,moria,surgery-instruments,Aspiration Tubing,Aspiration Tubing,Aspiration tubing pour suction rings. 10 tubings par boîte.,Aspiration tubing for suction rings. 10 tubings per box.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/ff38ad460bb71d2f5f3601778374f9113fa61d2a_180.jpg,active,false
19155,moria,surgery-instruments,ONE Turbine(pour Kératoplastie),ONE Turbine(for Keratoplasty),ONE Turbine pour artificial chamber: linear,ONE Turbine for artificial chamber: linear,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/fbf34efdf637ac5de5da36b2ec3d6a8dcb397029.jpg,active,false
19161,moria,surgery-instruments,Altk Artificial Chamber Base(pour Kératoplastie),Altk Artificial Chamber Base(for Keratoplasty),Compatible avec ONE et CBm,Compatible with ONE and CBm,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/76820a0c61f26dad6908ef76ececa0c6c6c69cc8.jpg,active,false
19162,moria,surgery-instruments,Altk Artificial Chamber Cover(pour Kératoplastie),Altk Artificial Chamber Cover(for Keratoplasty),Compatible avec ONE et CBm,Compatible with ONE and CBm,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/a264a87ef819ef383df59bf65f2c61f426fda49f.jpg,active,false
19168,moria,surgery-instruments,ONE Réutilisable Guide Anneau(pour Kératoplastie),ONE Reusable Guide Ring(for Keratoplasty),Guide anneau allowing use de le ONE turbine.,Guide ring allowing use of the ONE turbine.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/06573a5b87aebc72cdbce9c142f0b37add13b77c.jpg,active,false
19171,moria,surgery-instruments,Cbm Réutilisable Guide-anneau(pour Artificial Chamber),Cbm Reusable Guide-ring(for Artificial Chamber),Guide anneau allowing use de le CBm turbine.,Guide ring allowing use of the CBm turbine.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/fe7b9ea9f96b68eea0b783df5e94fe64e3fc5c79.jpg,active,false
19172,moria,surgery-instruments,Cbm Cover & Guide-anneau(pour Artificial Chamber),Cbm Cover & Guide-ring(for Artificial Chamber),Compatible avec CBm turbine only.,Compatible with CBm turbine only.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/08d8d598dc84d1ad2ac2ac9b231ff41ff00b7e9d.jpg,active,false
19173,moria,surgery-instruments,One Use-plus Réutilisable Guide Anneau(pour Artificial Chamber),One Use-plus Reusable Guide Ring(for Artificial Chamber),Guide anneau allowing use de le One Use-Plus microkeratome pour réutilisable ALTK artificial chamber.,Guide ring allowing use of the One Use-Plus microkeratome for reusable ALTK artificial chamber.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f3ec8d6a0b130a416c6cf13aec2189f26e2d221e.jpg,active,false
19175,moria,surgery-instruments,One Use-plus Handpiece pour Artificial Chamber(pour Dsaek Chirurgie),One Use-plus Handpiece for Artificial Chamber(for Dsaek Surgery),One Use-Plus handpiece pour artificial chamber:,One Use-Plus handpiece for artificial chamber:,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/3f7c5fc56774049555ff183dccdfcd2f120d3e9e.jpg,active,false
19182,moria,surgery-instruments,Usage Unique Artificial Chamber(pour Kératoplastie : Dsaek & Dmek),Single-use Artificial Chamber(for Keratoplasty : Dsaek & Dmek),"Designed to be used avec CBm rotative turbine (TD4/3), ONE linear turbine (TD1/3), et One Use-Plus microkeratome pour artificial chamber (TDM/3).","Designed to be used with CBm rotative turbine (TD4/3), ONE linear turbine (TD1/3), and One Use-Plus microkeratome for artificial chamber (TDM/3).",,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/b8e04e0f5d4e722254bdcbc373fa0a462c0f2a2b.jpg,active,false
19187,moria,surgery-instruments,OUP LC Guide-anneau (x5)(pour Artificial Chamber),OUP LC Guide-ring (x5)(for Artificial Chamber),Usage unique guide-anneau pour One Use-Plus microkeratome et usage unique artificial chamber. 5 par boîte.,Single-use guide-ring for One Use-Plus microkeratome and single-use artificial chamber. 5 per box.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/0e02ce3eef92f242939558814b26b4f723f180c8.jpg,active,false
19188,moria,surgery-instruments,ACP Système(pour Kératoplastie),ACP System(for Keratoplasty),ACP pack providing précis pressure adjustment in a artificial chamber.,ACP pack providing accurate pressure adjustment in an artificial chamber.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/f5fbbf96f9308334baacabb020fe96c449349a45.jpg,active,false
19192,moria,surgery-instruments,ACP Tubing(pour Artificial Chamber),ACP Tubing(for Artificial Chamber),,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/0adf19e6fcdc31ef90b2d0aa6943fb96ccc3bb9e.jpg,active,false
19303,moria,surgery-instruments,"Cbm Turbine(pour Dsaek, Altk et Lasik Chirurgie)","Cbm Turbine(for Dsaek, Altk and Lasik Surgery)",CBm turbine pour suction anneau et artificial chamber: rotating,CBm turbine for suction ring and artificial chamber: rotating,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/98da97d5d7111bf86276ca76fb8f34a4d0ffdf56.jpg,active,false
19345,moria,surgery-instruments,One Use-plus Handpiece(pour Lasik Chirurgie),One Use-plus Handpiece(for Lasik Surgery),One Use-Plus handpiece pour LASIK chirurgie:,One Use-Plus handpiece for LASIK surgery:,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8c85eadbc48222cd2cfca7a69e3a011596b9baf9.jpg,active,false
19380,moria,surgery-instruments,Evolution 3E Console,Evolution 3E Console,,,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/e779c2270408b19d962770cc05614a25b835b607.jpg,active,false
20000,moria,surgery-instruments,Crozafon Pince-1.8 Mm(1.8-mm Incision),Crozafon Forceps-1.8 Mm(1.8-mm Incision),Reusablecapsulorhexis forcepswithcurved active partand ≈45°pointed embout to produce le rhexis de le antérieur capsular bag through a1.8-mmincision.,Reusablecapsulorhexis forcepswithcurved active partand ≈45°pointed tip to produce the rhexis of the anterior capsular bag through a1.8-mmincision.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/0ba12bba2440b56729f6da0bcd95d36a4b41e686.jpg,active,false
20001,moria,ophthalmology-surgical,"Crozafon Micro Pre-chopper(cross-action, 2.2-mm Incision)","Crozafon Micro Pre-chopper(cross-action, 2.2-mm Incision)",Total longueur de 120 mm avec a partie active in le shape de a pince whose longueur is 5 mm over 1 mm. pointu pointed embout.Can be used during chirurgie de la cataracte to fragment le nucleus.,Total length of 120 mm with an active part in the shape of a forceps whose length is 5 mm over 1 mm. Sharp pointed tip.Can be used during cataract surgery to fragment the nucleus.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/8b4e030050a8e955947a71c9ab342da5578b6bc1.jpg,active,false
20002,moria,ophthalmology-surgical,Nagahara Phaco-chopper(1.3-mm Embout),Nagahara Phaco-chopper(1.3-mm Tip),11.5-cm total,11.5-cm total,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/4d328e7573f451c772d3e0b6a57534b29f4b2d6d.jpg,active,false
20003,moria,surgery-instruments,Ogawa Pince(pour Dsaek Graft Insertion),Ogawa Forceps(for Dsaek Graft Insertion),11.6-cm longueur avec a partie active in le shape de pince de 0.5 mm over 0.45 mm.Can be used pour donor button insertion during lamellar kératoplastie.embouts mousses pour le release de donor tissue inside le patient’s eyeangulation de manche optimized pour a fingertip controlwhen le instrument is,11.6-cm length with an active part in the shape of forceps of 0.5 mm over 0.45 mm.Can be used for donor button insertion during lamellar keratoplasty.blunt tips for the release of donor tissue inside the patient’s eyeangulation of handle optimized for a fingertip controlwhen the instrument is,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/254578e4459990e1140db1edfc3405a555853f06.jpg,active,false
20004,moria,ophthalmology-diagnostic,"20G Busin Pince(20g, Distal Control)","20G Busin Forceps(20g, Distal Control)",14.7-cm long avec a partie active longueur de 2.2 cm.Can be used to place a cornealDSAEKgraft in le chambre antérieure using le pull-through technique during endothelial kératoplastie.,14.7-cm long with an active part length of 2.2 cm.Can be used to place a cornealDSAEKgraft in the anterior chamber using the pull-through technique during endothelial keratoplasty.,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/93e5eabfdb437e9e66702432d6057431ce33fe29.jpg,active,false
20006,moria,surgery-instruments,20G Busin Spatule(pour Dsaek),20G Busin Spatula(for Dsaek),"Pour le insertion de a endothelial graft through a 5.5-mm incision: designed pour le ""pull-through""","For the insertion of an endothelial graft through a 5.5-mm incision: designed for the ""pull-through""",,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/5e602221d241521042e4ecb579d109ba93303d19.jpg,active,false
20007,moria,surgery-instruments,"Mini Busin Spatule(pour Dsaek, Dmek)","Mini Busin Spatula(for Dsaek, Dmek)","Pour le insertion de a endothelial graft through a 3.5-mm incision: designed pour le ""pull-through""","For the insertion of an endothelial graft through a 3.5-mm incision: designed for the ""pull-through""",,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/82ac663cc63069766a353547b73d6451a07bc760.jpg,active,false
20010,moria,surgery-instruments,Lasik Cleaver Spatule(pour Lasik),Lasik Cleaver Spatula(for Lasik),9.7-cm long à double extrémité spatule:one 0.2-mm embout pour entering underneath a existing LASIK cleavage,9.7-cm long double-ended spatula:one 0.2-mm tip for entering underneath an existing LASIK cleavage,,,,https://www.moria-surgical.com/media/cache/product_viewer/files/product/e828c235bf0e5584d542f5025508ea8bbbe3297c.jpg,active,false
