referenceFournisseur,constructeur,categoryId,nom_fr,nom_en,description_fr,description_en,ficheTechnique_fr,ficheTechnique_en,pdfBrochureUrl,imageUrls,status,featured
SL-28,rumex,ophthalmology-surgical,"Sl-28 Jetable Couteau à Fente, Simple Bevel, 2.80 Mm, Angulé, Safety Système, 6 Par Boîte","Sl-28 Disposable Slit Knife, Single Bevel, 2.80 Mm, Angled, Safety System, 6 Per Box",Pour scléral tunnel incisions. Sterile,For scleral tunnel incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/7407_10006_440x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_00d729d3-be5d-4e62-a662-c66f13d3187e_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/7407_10006_1876x320.png | https://rumex.com/cdn/shop/products/mqdefault_00d729d3-be5d-4e62-a662-c66f13d3187e_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_e5728e33-e827-48a7-b3e4-87818ffe367f_320x180.jpg,active,false
SL-27,rumex,ophthalmology-surgical,"Sl-27 Jetable Couteau à Fente, Simple Bevel, 2.75 Mm, Angulé, Safety Système, 6 Par Boîte","Sl-27 Disposable Slit Knife, Single Bevel, 2.75 Mm, Angled, Safety System, 6 Per Box",Pour scléral tunnel incisions. Sterile,For scleral tunnel incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/7406_10005_440x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_d4c13016-023e-4fd1-a0b2-3d708e1a965c_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/7406_10005_1876x320.png | https://rumex.com/cdn/shop/products/mqdefault_d4c13016-023e-4fd1-a0b2-3d708e1a965c_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_e5728e33-e827-48a7-b3e4-87818ffe367f_320x180.jpg,active,false
SL-26,rumex,ophthalmology-surgical,"Sl-26 Jetable Couteau à Fente, Simple Bevel, 2.65 Mm, Angulé, Safety Système, 6 Par Boîte","Sl-26 Disposable Slit Knife, Single Bevel, 2.65 Mm, Angled, Safety System, 6 Per Box",Pour scléral tunnel incisions. Sterile,For scleral tunnel incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1827_4531_563x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_96dc9d04-39d0-4b94-a97e-12a0c3b443cb_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1827_4531_915x122.png | https://rumex.com/cdn/shop/products/mqdefault_96dc9d04-39d0-4b94-a97e-12a0c3b443cb_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_5cefece8-b6f1-4a0a-988c-b665b9a67d0a_320x180.jpg,active,false
SL-24,rumex,ophthalmology-surgical,"Sl-24 Jetable Couteau à Fente, Simple Bevel, 2.40 Mm, Angulé, Safety Système, 6 Par Boîte","Sl-24 Disposable Slit Knife, Single Bevel, 2.40 Mm, Angled, Safety System, 6 Per Box",Pour scléral tunnel incisions. Sterile,For scleral tunnel incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1826_4530_563x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_3afe92f5-fa79-4876-ac3e-5f5949e2706a_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1826_4530_915x122.png | https://rumex.com/cdn/shop/products/mqdefault_3afe92f5-fa79-4876-ac3e-5f5949e2706a_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_02e8f8ee-0ddc-434e-82c2-07da13f23e04_320x180.jpg,active,false
SL-22,rumex,ophthalmology-surgical,"Sl-22 Jetable Couteau à Fente, Simple Bevel, 2.20 Mm, Angulé, Safety Système, 6 Par Boîte","Sl-22 Disposable Slit Knife, Single Bevel, 2.20 Mm, Angled, Safety System, 6 Per Box",Pour scléral tunnel incisions. Sterile,For scleral tunnel incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1825_4529_563x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_b070d24b-1ea7-4dc0-a341-f261cf65d94c_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1825_4529_915x122.png | https://rumex.com/cdn/shop/products/mqdefault_b070d24b-1ea7-4dc0-a341-f261cf65d94c_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_212fb21f-dae1-46f5-a194-7f8c5d3b8be5_320x180.jpg,active,false
PK-11,rumex,surgery-instruments,"Pk-11 Jetable Paracentesis Couteau, Double Bevel, 1.10 Mm, Angulé, Safety Système, 6 Par Boîte","Pk-11 Disposable Paracentesis Knife, Double Bevel, 1.10 Mm, Angled, Safety System, 6 Per Box",Pour paracentesis incisions/side port incisions. Sterile,For paracentesis incisions/side port incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1821_4524_556x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_5e802f32-ef60-4d57-8a38-f7e8b66ea30e_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1821_4524_934x126.png | https://rumex.com/cdn/shop/products/mqdefault_5e802f32-ef60-4d57-8a38-f7e8b66ea30e_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_ab6e6c5c-8059-42cb-87db-74aa48ff4a82_320x180.jpg,active,false
PD-60,rumex,surgery-instruments,"Pd-60 Jetable Preset Couteau, Multifacet, 600 Μm Depth, Safety Système, 6 Par Boîte","Pd-60 Disposable Preset Knife, Multifacet, 600 Μm Depth, Safety System, 6 Per Box",Pour groove making/limbal relaxing incisions. Sterile,For groove making/limbal relaxing incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/1837_4559_531x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_27dcc4c5-3243-4a58-9fde-be2fca9d8a4a_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/1837_4559_934x132.png | https://rumex.com/cdn/shop/products/mqdefault_27dcc4c5-3243-4a58-9fde-be2fca9d8a4a_320x180.jpg | https://rumex.com/cdn/shop/products/477_3562_d4fe3807-ee36-46e8-a1d1-3b91630bf6bc_512x288.png,active,false
CR-20,rumex,surgery-instruments,"Cr-20 Jetable Couteau Croissant, Simple Bevel, 2.00 Mm, Angulé, Safety Système, 6 Par Boîte","Cr-20 Disposable Crescent Knife, Single Bevel, 2.00 Mm, Angled, Safety System, 6 Per Box",Pour lamellar dissections /scléral,For lamellar dissections /scleral,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/7405_10004_440x75_crop_center.png | https://rumex.com/cdn/shop/products/mqdefault_b5a2ce1e-16ae-439e-9ff6-dba3b9d9e974_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/7405_10004_1876x320.png | https://rumex.com/cdn/shop/products/mqdefault_b5a2ce1e-16ae-439e-9ff6-dba3b9d9e974_320x180.jpg | https://rumex.com/cdn/shop/products/463_3554_ffe3a89b-ff4c-4fb0-9721-11772c8576dd_512x288.png,active,false
CCD-27,rumex,ophthalmology-surgical,"Ccd-27 Jetable Clear Cornéen Couteau avec Depth Indicators, Double Bevel, 2.75 Mm, Angulé, Safety Système, 6 Par Boîte","Ccd-27 Disposable Clear Corneal Knife with Depth Indicators, Double Bevel, 2.75 Mm, Angled, Safety System, 6 Per Box",Designed pour le tunnel incisions.Depth indicators de 1.,Designed for the tunnel incisions.Depth indicators of 1.,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/ccd_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_1165b3b2-f682-454a-833a-81c6988de3e1_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_1165b3b2-f682-454a-833a-81c6988de3e1_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_e5728e33-e827-48a7-b3e4-87818ffe367f_320x180.jpg | https://rumex.com/cdn/shop/products/cc_a84c01b5-9b73-4a7d-8f76-31dbabaf8ae6_512x308.png,active,false
CCD-26,rumex,ophthalmology-surgical,"Ccd-26 Jetable Clear Cornéen Couteau avec Depth Indicators, Double Bevel, 2.65 Mm, Angulé, Safety Système, 6 Par Boîte","Ccd-26 Disposable Clear Corneal Knife with Depth Indicators, Double Bevel, 2.65 Mm, Angled, Safety System, 6 Per Box",Designed pour le tunnel incisions.Depth indicators de 1.,Designed for the tunnel incisions.Depth indicators of 1.,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/ccd_9369c55c-6397-4529-98a0-1795bd8a0cc6_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_47196755-ab37-4aae-af42-158783de0792_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_47196755-ab37-4aae-af42-158783de0792_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_5cefece8-b6f1-4a0a-988c-b665b9a67d0a_320x180.jpg | https://rumex.com/cdn/shop/products/cc_a4eb76dd-9469-47bc-a9c6-de7051a01661_512x308.png,active,false
CCD-24,rumex,ophthalmology-surgical,"Ccd-24 Jetable Clear Cornéen Couteau avec Depth Indicators, Double Bevel, 2.40 Mm, Angulé, Safety Système, 6 Par Boîte","Ccd-24 Disposable Clear Corneal Knife with Depth Indicators, Double Bevel, 2.40 Mm, Angled, Safety System, 6 Per Box",Designed pour le tunnel incisions.Depth indicators de 1.,Designed for the tunnel incisions.Depth indicators of 1.,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/ccd_a711cc32-1b97-4c70-b690-9d9aa6747a2d_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_4539da4a-a695-453c-94ab-6c6353766680_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_4539da4a-a695-453c-94ab-6c6353766680_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_02e8f8ee-0ddc-434e-82c2-07da13f23e04_320x180.jpg | https://rumex.com/cdn/shop/products/cc_a5237a52-7f99-4cd8-8013-324e4dff46ec_512x308.png,active,false
CCD-22,rumex,ophthalmology-surgical,"Ccd-22 Jetable Clear Cornéen Couteau avec Depth Indicators, Double Bevel, 2.20 Mm, Angulé, Safety Système, 6 Par Boîte","Ccd-22 Disposable Clear Corneal Knife with Depth Indicators, Double Bevel, 2.20 Mm, Angled, Safety System, 6 Per Box",Designed pour le tunnel incisions.Depth indicators de 1.,Designed for the tunnel incisions.Depth indicators of 1.,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/CCD-22_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_98fbcd6f-0714-4d38-a56b-d1a09708c365_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_98fbcd6f-0714-4d38-a56b-d1a09708c365_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_212fb21f-dae1-46f5-a194-7f8c5d3b8be5_320x180.jpg | https://rumex.com/cdn/shop/products/cc_512x308.png,active,false
CC-30,rumex,ophthalmology-surgical,"Cc-30 Jetable Clear Cornéen Couteau, Double Bevel, 3.00 Mm, Angulé, Safety Système, 6 Par Boîte","Cc-30 Disposable Clear Corneal Knife, Double Bevel, 3.00 Mm, Angled, Safety System, 6 Per Box",Pour cornée claire incisions. Sterile,For clear cornea incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/cc_bcd2db07-cddb-4ffe-b42d-09084e3d56a7_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_a01da1e9-0b69-4575-ba9e-6d7cc409c41b_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_a01da1e9-0b69-4575-ba9e-6d7cc409c41b_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_e5728e33-e827-48a7-b3e4-87818ffe367f_320x180.jpg | https://rumex.com/cdn/shop/products/cc_a84c01b5-9b73-4a7d-8f76-31dbabaf8ae6_512x308.png,active,false
CC-27,rumex,ophthalmology-surgical,"Cc-27 Jetable Clear Cornéen Couteau, Double Bevel, 2.75 Mm, Angulé, Safety Système, 6 Par Boîte","Cc-27 Disposable Clear Corneal Knife, Double Bevel, 2.75 Mm, Angled, Safety System, 6 Per Box",Pour cornée claire incisions. Sterile,For clear cornea incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/cc_a84c01b5-9b73-4a7d-8f76-31dbabaf8ae6_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_e5728e33-e827-48a7-b3e4-87818ffe367f_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_e5728e33-e827-48a7-b3e4-87818ffe367f_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_1165b3b2-f682-454a-833a-81c6988de3e1_320x180.jpg | https://rumex.com/cdn/shop/products/ccd_512x308.png,active,false
CC-26,rumex,ophthalmology-surgical,"Cc-26 Jetable Clear Cornéen Couteau, Double Bevel, 2.65 Mm, Angulé, Safety Système, 6 Par Boîte","Cc-26 Disposable Clear Corneal Knife, Double Bevel, 2.65 Mm, Angled, Safety System, 6 Per Box",Pour cornée claire incisions. Sterile,For clear cornea incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/cc_a4eb76dd-9469-47bc-a9c6-de7051a01661_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_5cefece8-b6f1-4a0a-988c-b665b9a67d0a_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_5cefece8-b6f1-4a0a-988c-b665b9a67d0a_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_47196755-ab37-4aae-af42-158783de0792_320x180.jpg | https://rumex.com/cdn/shop/products/ccd_9369c55c-6397-4529-98a0-1795bd8a0cc6_512x308.png,active,false
CC-24,rumex,ophthalmology-surgical,"Cc-24 Jetable Clear Cornéen Couteau, Double Bevel, 2.40 Mm, Angulé, Safety Système, 6 Par Boîte","Cc-24 Disposable Clear Corneal Knife, Double Bevel, 2.40 Mm, Angled, Safety System, 6 Per Box",Pour cornée claire incisions. Sterile,For clear cornea incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/cc_a5237a52-7f99-4cd8-8013-324e4dff46ec_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_02e8f8ee-0ddc-434e-82c2-07da13f23e04_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_02e8f8ee-0ddc-434e-82c2-07da13f23e04_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_4539da4a-a695-453c-94ab-6c6353766680_320x180.jpg | https://rumex.com/cdn/shop/products/ccd_a711cc32-1b97-4c70-b690-9d9aa6747a2d_512x308.png,active,false
CC-22,rumex,ophthalmology-surgical,"Cc-22 Jetable Clear Cornéen Couteau, Double Bevel, 2.20 Mm, Angulé, Safety Système, 6 Par Boîte","Cc-22 Disposable Clear Corneal Knife, Double Bevel, 2.20 Mm, Angled, Safety System, 6 Per Box",Pour cornée claire incisions. Sterile,For clear cornea incisions. Sterile,,,https://cdn.shopify.com/s/files/1/0512/1710/5045/files/SINGLE_USE_INSTRUMENTS_7199f851-d4f0-4f40-a202-cff45eff1180.pdf,https://rumex.com/cdn/shop/products/cc_1167x700.png | https://rumex.com/cdn/shop/products/mqdefault_212fb21f-dae1-46f5-a194-7f8c5d3b8be5_134x75_crop_center.jpg | https://rumex.com/cdn/shop/products/mqdefault_212fb21f-dae1-46f5-a194-7f8c5d3b8be5_320x180.jpg | https://rumex.com/cdn/shop/products/mqdefault_98fbcd6f-0714-4d38-a56b-d1a09708c365_320x180.jpg | https://rumex.com/cdn/shop/products/CCD-22_512x308.png,active,false
